"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.960479500E0,2.511189282E-1,6.115162373E-1,1.294106841E-1
3.980563500E0,5.249195695E-1,2.277220041E-1,2.887343168E-1
4.000647500E0,3.555588424E-1,-1.255163252E-1,4.005735815E-1
4.020731500E0,-5.542607978E-2,-1.917963922E-1,4.510294795E-1
4.040815500E0,-4.292869568E-1,-9.669815749E-2,5.347331166E-1
4.060899500E0,-5.266529918E-1,-2.358905971E-2,6.584382057E-1
4.080983500E0,-3.166947961E-1,-5.804922897E-3,7.479313016E-1
4.101067500E0,2.710882947E-2,5.099755945E-4,7.733893394E-1
4.121150500E0,2.684042156E-1,5.310059711E-2,7.805877924E-1
4.141234500E0,4.242827594E-1,1.782848388E-1,8.044204116E-1
4.161318500E0,5.328760147E-1,2.292212099E-1,7.919344306E-1
4.181402500E0,5.113357902E-1,1.137453839E-1,7.421804070E-1
4.201486500E0,3.037961125E-1,-5.882275105E-2,6.393152475E-1
4.221570500E0,-1.273480244E-2,-1.472517699E-1,5.005453229E-1
4.241654500E0,-2.628366351E-1,-1.156831160E-1,3.890323341E-1
4.261738500E0,-3.371345401E-1,-6.450930238E-2,3.103986382E-1
4.281822500E0,-2.207927555E-1,-5.703658238E-2,2.260285616E-1
4.301906500E0,-1.191834137E-1,-2.173041552E-1,1.782063991E-1
4.321990500E0,-2.157403231E-1,-3.300670981E-1,1.359913796E-1
4.342074500E0,-3.990177512E-1,-2.267356813E-1,7.907456905E-2
4.362158500E0,-4.909438789E-1,1.694940925E-1,2.318122424E-2
4.382242500E0,-2.726528645E-1,4.608485103E-1,7.778045535E-2
4.402325500E0,8.665548265E-2,3.353061080E-1,2.224202752E-1
4.422409500E0,6.836921722E-2,-1.258667558E-1,2.519286573E-1
4.442493500E0,-4.133541286E-1,-2.729331255E-1,1.101956293E-1
4.462577625E0,-8.528980613E-1,7.228903472E-2,-9.058680385E-2
4.482661625E0,-7.500920296E-1,4.090811610E-1,-2.260155231E-1
4.502745625E0,-2.576611042E-1,4.137134254E-1,-2.329170406E-1
4.522829625E0,9.513043612E-2,6.263805088E-3,-2.095845789E-1
4.542913625E0,1.339064091E-1,-2.084508538E-1,-1.954786777E-1
4.562997625E0,6.893545389E-2,-1.387581378E-1,-2.202880532E-1
4.583081625E0,3.715315461E-2,-9.227289259E-2,-2.759036720E-1
4.603165625E0,6.197447702E-2,-1.516111195E-1,-3.692516983E-1
4.623249625E0,9.438142180E-2,-1.227195188E-1,-4.837028980E-1
4.643333625E0,1.691402048E-1,-6.474744063E-3,-5.496866703E-1
4.663417625E0,3.235680163E-1,4.683559388E-2,-5.465253592E-1
4.683500625E0,4.684063792E-1,-3.030914068E-2,-4.384267032E-1
4.703584625E0,5.377511978E-1,-1.746662408E-1,-2.567520440E-1
4.723668625E0,5.308148265E-1,-3.084963560E-1,-1.782613546E-1
4.743752625E0,4.818002582E-1,-4.493745863E-1,-3.578925133E-1
4.763836625E0,3.803830743E-1,-5.141652822E-1,-6.896616817E-1
4.783920625E0,1.675981432E-1,-3.962939680E-1,-9.015277028E-1
4.804004625E0,7.052769512E-2,-1.570979655E-1,-9.925616980E-1
4.824088625E0,1.844945252E-1,-8.522336185E-2,-1.028931856E0
4.844172625E0,2.708724737E-1,-3.659803867E-1,-1.019380212E0
4.864256625E0,4.496804997E-2,-6.922622919E-1,-9.916421771E-1
4.884340625E0,-4.009248018E-1,-7.465581298E-1,-9.574910402E-1
4.904424625E0,-6.218960285E-1,-3.599513769E-1,-9.256076813E-1
4.924508625E0,-4.113504887E-1,6.133033335E-2,-9.084811807E-1
4.944592625E0,-3.149669766E-1,8.817872405E-2,-8.629475236E-1
4.964676625E0,-5.502741337E-1,-1.197143048E-1,-7.548230290E-1
4.984759625E0,-7.394526601E-1,-2.118836939E-1,-5.898280144E-1
5.004843625E0,-5.861541033E-1,1.942240596E-1,-3.822009265E-1
5.024927625E0,-5.910862237E-2,8.189901114E-1,-1.454017609E-1
5.045011625E0,3.076420426E-1,9.144531488E-1,1.032419130E-1
5.065095625E0,1.987907439E-1,4.710263014E-1,3.028897941E-1
5.085179625E0,-2.742707133E-1,2.992342040E-2,4.043315947E-1
5.105263625E0,-7.715350389E-1,-1.218669191E-1,4.926610887E-1
5.125347625E0,-1.098688722E0,-7.665152848E-2,5.692431331E-1
5.145431625E0,-1.250112534E0,1.101649404E-1,6.185553670E-1
5.165515625E0,-1.285785675E0,3.399654925E-1,6.271051168E-1
5.185599625E0,-1.256482601E0,5.757044554E-1,6.220191121E-1
5.205683625E0,-1.021734715E0,6.446990967E-1,7.023702264E-1
5.225767625E0,-5.394659638E-1,5.192154646E-1,8.846690059E-1
5.245851625E0,-4.526718706E-2,2.391342223E-1,1.038510561E0
5.265934625E0,2.067304850E-1,2.937279455E-2,1.133434772E0
5.286018625E0,2.122834027E-1,-1.405026764E-1,1.137489557E0
5.306102625E0,3.604816645E-2,-2.727895677E-1,1.072435856E0
5.326186625E0,-1.833762079E-1,-2.727319598E-1,9.236658812E-1
5.346270625E0,-3.425413370E-1,-1.248789951E-1,7.027706504E-1
5.366354625E0,-3.698970675E-1,3.202426014E-4,4.531778693E-1
5.386438625E0,-3.525012732E-1,-1.639815569E-1,2.913653851E-1
5.406522625E0,-4.367198348E-1,-3.036001027E-1,2.862037718E-1
5.426606625E0,-5.098924041E-1,-1.624235958E-1,2.088565230E-1
5.446690000E0,-5.230941772E-1,5.204839632E-2,3.501326591E-2
5.466774000E0,-4.515091181E-1,1.335895211E-1,-1.350630820E-1
5.486858000E0,-4.797924161E-1,-2.034971863E-2,-2.452670783E-1
5.506942000E0,-9.211650491E-1,-2.706726193E-1,-4.436164796E-1
5.527026000E0,-1.592113376E0,-1.634975374E-1,-7.935919166E-1
5.547109000E0,-1.727851748E0,5.264317989E-1,-9.483927488E-1
5.567193000E0,-1.002575755E0,1.003942490E0,-7.470238805E-1
5.587277000E0,-1.030223444E-2,5.227270722E-1,-3.599728346E-1
5.607361000E0,6.258744001E-1,-2.368962616E-1,-6.866830587E-2
5.627445000E0,7.803913355E-1,-4.056438208E-1,5.727250129E-2
5.647529000E0,6.964445114E-1,-2.868326902E-1,-8.222361095E-3
5.667613000E0,5.815863013E-1,-9.050709754E-2,-1.593204439E-1
5.687697000E0,5.623431206E-1,1.859194338E-1,-3.003430665E-1
5.707781000E0,6.941298842E-1,3.820094168E-1,-3.859322071E-1
5.727865000E0,8.694170713E-1,3.427648842E-1,-3.791834712E-1
5.747949000E0,9.250906110E-1,1.472469419E-1,-3.202143610E-1
5.768033000E0,7.300997972E-1,-2.288063802E-2,-2.913167775E-1
5.788117000E0,3.311727643E-1,-9.813594632E-3,-2.673764229E-1
5.808201000E0,6.463449448E-3,1.627876312E-1,-2.471203357E-1
5.828285000E0,-1.663944423E-1,1.059319824E-1,-2.557089627E-1
5.848368000E0,-2.643030584E-1,-7.621777058E-2,-1.792624444E-1
5.868452000E0,-1.977703720E-1,-1.734690666E-1,-4.687225819E-2
5.888536000E0,-3.567193449E-2,-8.865070343E-2,6.006858498E-2
5.908620000E0,8.106736839E-2,1.117122546E-1,9.038495272E-2
5.928704000E0,1.615268588E-1,8.452178538E-2,5.587917939E-2
5.948788000E0,1.724394411E-1,-1.510857940E-1,3.658411652E-2
5.968872000E0,1.523229778E-1,-1.615566909E-1,-7.687012665E-3
5.988956000E0,1.133124754E-1,1.807623357E-2,-1.751505733E-1
6.009040000E0,-2.547571361E-1,4.020011052E-3,-4.083495438E-1
6.029124000E0,-8.277538419E-1,1.240956038E-1,-5.649209619E-1
6.049208000E0,-1.053187490E0,2.736242712E-1,-5.855696797E-1
6.069292000E0,-6.436066031E-1,4.158573747E-1,-3.605031967E-1
6.089376000E0,3.676131666E-1,3.171803355E-1,1.568817906E-2
6.109460000E0,1.132621765E0,-1.891769320E-1,3.043682873E-1
6.129544000E0,1.191110730E0,-5.361170769E-1,4.340346754E-1
6.149627000E0,7.645417452E-1,-4.728995860E-1,4.599666595E-1
6.169711000E0,1.784314066E-1,-1.942118257E-1,5.128854513E-1
6.189795000E0,-3.191654682E-1,-8.635413647E-2,6.523381472E-1
6.209879000E0,-5.292242765E-1,-1.692197770E-1,8.019692898E-1
6.229963000E0,-4.153634906E-1,-1.637930274E-1,8.540991545E-1
6.250047000E0,-8.602068573E-2,-2.625264972E-2,8.398507237E-1
6.270131000E0,2.999192178E-1,-2.790566348E-2,8.417704105E-1
6.290215000E0,4.878396094E-1,-1.367960870E-1,8.898493648E-1
6.310299000E0,4.319663942E-1,-2.194212824E-1,9.212127328E-1
6.330383000E0,1.878526211E-1,-1.983214021E-1,8.717886209E-1
6.350467000E0,-9.504664689E-2,-1.511903852E-1,7.027628422E-1
6.370551000E0,-3.069325984E-1,-8.805667609E-2,5.034093261E-1
6.390635000E0,-3.540853262E-1,6.576274335E-2,4.380254149E-1
6.410719000E0,-2.605327070E-1,1.136651188E-1,4.336677790E-1
6.430802000E0,-2.236247212E-1,5.632325262E-2,3.511283100E-1
6.450886625E0,-2.981797159E-1,-2.772726677E-2,2.239855379E-1
6.470970625E0,-3.796482980E-1,-1.041599214E-1,1.187319607E-1
6.491054625E0,-5.570535660E-1,-4.608514160E-2,1.473779697E-2
6.511138625E0,-6.611006260E-1,1.378784031E-1,-1.133505851E-1
6.531222625E0,-3.961841464E-1,2.088052779E-1,-1.403967291E-1
6.551306625E0,-5.695648119E-2,7.477175910E-3,-9.173177928E-2
6.571390625E0,-2.048806697E-1,-1.109736338E-1,-1.755907983E-1
6.591474625E0,-6.247587800E-1,1.062356755E-1,-3.687513471E-1
6.611558625E0,-7.673878074E-1,5.251119137E-1,-4.932953119E-1
6.631642625E0,-2.392631918E-1,7.106140256E-1,-3.833038807E-1
6.651726625E0,5.547555089E-1,3.368894756E-1,-1.642473787E-1
6.671810625E0,8.840281963E-1,-1.086576506E-1,-5.672032386E-2
6.691894625E0,7.135849595E-1,-1.560263783E-1,-8.911982179E-2
6.711977625E0,3.732888699E-1,-4.870657250E-2,-1.861611903E-1
6.732061625E0,1.278733611E-1,5.138910934E-2,-3.253972530E-1
6.752145625E0,1.301645488E-1,6.379224360E-2,-4.737769067E-1
6.772229625E0,2.876915038E-1,7.216161489E-2,-5.542722940E-1
6.792313625E0,4.361051619E-1,1.007075235E-1,-5.552187562E-1
6.812397625E0,4.937689006E-1,7.393876463E-2,-5.243622065E-1
6.832481625E0,4.225086272E-1,7.564845681E-2,-4.234276712E-1
6.852565625E0,3.276272416E-1,1.356124431E-1,-3.301386237E-1
6.872649625E0,3.338969946E-1,1.785614640E-1,-3.733720779E-1
6.892733625E0,3.718790412E-1,1.932392716E-1,-4.033398330E-1
6.912817625E0,3.191523850E-1,9.214131534E-2,-3.231608272E-1
6.932901625E0,1.586657465E-1,5.538691953E-2,-2.200095356E-1
6.952985625E0,-1.526535861E-2,1.505011469E-1,-1.835466176E-1
6.973069625E0,-7.495642453E-2,2.605660856E-1,-1.369755566E-1
6.993153625E0,6.770617329E-4,1.888320446E-1,-6.982588209E-3
7.013236625E0,6.783595681E-2,1.110340469E-2,1.754891425E-1
7.033320625E0,4.969225731E-3,2.557516098E-2,2.349160314E-1
7.053404625E0,5.228196457E-2,1.270538867E-1,1.205071062E-1
7.073488625E0,2.136843055E-1,2.010281682E-1,-7.350307703E-2
7.093572625E0,9.282954037E-2,1.554958709E-2,-2.285792977E-1
7.113656625E0,-4.472321272E-1,-2.466388196E-1,-3.542012572E-1
7.133740625E0,-7.548099160E-1,-1.251025349E-1,-3.835844994E-1
7.153824625E0,-2.623363733E-1,4.273287058E-1,-1.504410952E-1
7.173908625E0,8.021975756E-1,4.897763133E-1,1.957505643E-1
7.193992625E0,1.392942190E0,-2.244936675E-2,4.177960157E-1
7.214076625E0,1.161022186E0,-3.734726310E-1,4.376645982E-1
7.234160625E0,4.124156833E-1,-3.105920255E-1,4.168528616E-1
7.254244625E0,-3.690730333E-1,-8.748610318E-2,4.250162244E-1
7.274328625E0,-8.301314712E-1,-4.934862629E-2,4.672376215E-1
7.294412625E0,-8.943570852E-1,-1.089856923E-1,5.083964467E-1
7.314495625E0,-6.365285516E-1,-1.155072749E-1,5.607826710E-1
7.334579625E0,-2.321396619E-1,-4.327997565E-2,6.258689165E-1
7.354663625E0,9.979621321E-2,-1.414123224E-3,6.949477792E-1
7.374747625E0,2.628426254E-1,-4.539686441E-2,7.678557038E-1
