"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.401997552E2,3.211482916E1,1.189502765E2,1.885208881E1,1.406027794E0,1.709243774E2,4.263621330E0,4.263621330E0
1.411902286E2,3.211481685E1,1.189502846E2,1.895992762E1,1.428315639E0,1.714835510E2,4.280548573E0,4.280548573E0
1.421938427E2,3.211480523E1,1.189502895E2,1.894118202E1,1.176599264E0,1.714539795E2,4.319084167E0,4.319084167E0
1.431913979E2,3.211479387E1,1.189502924E2,1.897499892E1,1.353864431E0,1.741613922E2,4.509487629E0,4.509487629E0
1.441990505E2,3.211478011E1,1.189502962E2,1.884851269E1,1.438550234E0,1.736254730E2,4.540830612E0,4.540830612E0
1.451974281E2,3.211476720E1,1.189502986E2,1.884485802E1,1.181557178E0,1.781619415E2,4.423323631E0,4.423323631E0
1.461954177E2,3.211475184E1,1.189503077E2,1.890649964E1,1.334366202E0,1.715897217E2,4.317967415E0,4.317967415E0
1.472027515E2,3.211473640E1,1.189503166E2,1.905186609E1,1.356210709E0,1.709987946E2,4.195755959E0,4.195755959E0
1.481892979E2,3.211472382E1,1.189503214E2,1.894892778E1,1.356068373E0,1.686645660E2,4.143830299E0,4.143830299E0
1.491893599E2,3.211471130E1,1.189503257E2,1.879876216E1,1.372609854E0,1.664328156E2,4.075261593E0,4.075261593E0
1.501949823E2,3.211469942E1,1.189503299E2,1.875621697E1,1.377187967E0,1.700721893E2,4.065156937E0,4.065156937E0
1.511890036E2,3.211468732E1,1.189503341E2,1.873998787E1,1.387244821E0,1.704306030E2,4.199259758E0,4.199259758E0
1.522021620E2,3.211467614E1,1.189503337E2,1.881737208E1,1.357563019E0,1.704703217E2,4.362595558E0,4.362595558E0
1.532025229E2,3.211466192E1,1.189503376E2,1.874974201E1,1.422439098E0,1.761499634E2,4.488929272E0,4.488929272E0
1.541945510E2,3.211464961E1,1.189503409E2,1.887121781E1,1.467729807E0,1.722416077E2,4.392256260E0,4.392256260E0
1.551898739E2,3.211463866E1,1.189503433E2,1.900865032E1,1.419495821E0,1.714199371E2,4.439411163E0,4.439411163E0
1.562088885E2,3.211462684E1,1.189503484E2,1.908160352E1,1.454053283E0,1.658188019E2,4.511918068E0,4.511918068E0
1.572021531E2,3.211461216E1,1.189503528E2,1.896436625E1,1.434456110E0,1.701105194E2,4.350815773E0,4.350815773E0
1.581905120E2,3.211459788E1,1.189503561E2,1.881235651E1,1.464285016E0,1.624673920E2,4.343506813E0,4.343506813E0
1.592031458E2,3.211458291E1,1.189503612E2,1.860076313E1,1.423504114E0,1.605500183E2,4.442205906E0,4.442205906E0
1.601984422E2,3.211456932E1,1.189503678E2,1.853463476E1,1.429192424E0,1.595981445E2,4.575249672E0,4.575249672E0
1.612021130E2,3.211455685E1,1.189503753E2,1.872194800E1,1.356272936E0,1.610000458E2,4.513397694E0,4.513397694E0
