"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.634000000E0,1.515000015E-1,2.587399960E0,3.497000039E-1
8.654000000E0,1.520999968E-1,1.687199950E0,1.156799912E0
8.674000000E0,1.263999939E-1,7.310000062E-2,1.430199981E0
8.694000000E0,6.434000134E-1,-1.115299940E0,2.117999941E-1
8.714000000E0,1.319999933E0,-1.759899974E0,-1.473299980E0
8.734000000E0,2.514499903E0,-3.528100014E0,-7.092299938E0
8.754000000E0,5.021899700E0,-5.050899982E0,-1.254899979E1
8.774000000E0,3.934499979E0,-3.788100004E0,-2.595999956E0
8.794000000E0,2.797299862E0,-2.174799919E0,5.356000066E-1
8.814000000E0,2.051800013E0,-2.893399954E0,-2.145099878E0
8.834000000E0,2.387899876E0,-4.386799812E0,-1.013739967E1
8.854000000E0,2.177199841E0,-3.456300020E0,-8.623899460E0
8.874000000E0,4.949999750E-1,-2.085399866E0,-3.775399923E0
8.894000000E0,-7.507999539E-1,-1.890799999E0,-1.751299977E0
8.914000000E0,1.308999956E-1,-4.506000042E0,2.655699968E0
8.934000000E0,-3.130000085E-2,-6.029900074E0,4.011199951E0
