"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.316207917E0,-1.038540344E0,-6.411167908E-1,7.826325073E0
7.336292917E0,-4.107458496E-1,-4.418811035E-1,7.137906647E0
7.356376917E0,-2.372566223E-1,-5.721102905E-1,5.915398865E0
7.376461917E0,-1.712438965E-1,-3.155438232E-1,5.130131836E0
7.396545917E0,3.007246399E-1,-1.628613281E-1,5.687123566E0
7.416629917E0,1.082698517E0,1.203497314E-1,6.819069672E0
7.436714917E0,2.312391357E0,6.478527832E-1,7.189549255E0
7.456798917E0,2.302511902E0,1.249751129E0,6.868317261E0
7.476883917E0,1.610051880E0,1.355131989E0,6.997648315E0
7.496967917E0,1.565145264E0,1.237925720E0,8.089328156E0
7.517052917E0,1.738035736E0,6.912625122E-1,9.158255310E0
7.537136917E0,2.305954742E0,3.608995056E-1,1.016161880E1
7.557221917E0,3.119962006E0,2.338137817E-1,1.072115524E1
7.577305917E0,3.265160065E0,3.294648743E-1,1.129670837E1
7.597389917E0,3.726500702E0,1.300794983E-1,1.082923050E1
7.617474917E0,4.243675232E0,1.526824951E-1,1.014380585E1
7.637558917E0,4.219874725E0,-9.574090576E-1,1.046818130E1
7.657643917E0,2.708168335E0,-2.853516083E0,1.214229996E1
7.677727917E0,5.164260864E-1,-4.589605865E0,1.447400116E1
7.697812917E0,2.862048340E-1,-4.665647736E0,1.545820450E1
7.717896917E0,1.886976013E0,-3.942351837E0,1.388587418E1
7.737980917E0,3.006797333E0,-3.126248932E0,1.239961487E1
7.758065917E0,2.519560547E0,-2.508184204E0,1.137080429E1
7.778149917E0,1.485061798E0,-2.437680817E0,1.049841843E1
7.798234917E0,3.278182983E-2,-2.020348663E0,9.758806458E0
7.818318917E0,-6.667135620E-1,-1.509161682E0,8.744216309E0
7.838403917E0,-5.789959717E-1,-1.000818787E0,7.279362488E0
7.858487917E0,-6.102809143E-1,-6.921606445E-1,6.042185211E0
7.878571917E0,-1.070723419E0,-4.011657715E-1,5.263953552E0
7.898656917E0,-1.201701050E0,-1.826202393E-1,4.725223846E0
7.918740917E0,-1.022823029E0,1.616638184E-2,4.466262360E0
7.938825917E0,-8.813671875E-1,-1.841171265E-2,4.997507629E0
7.958909917E0,-9.240284729E-1,-7.050338745E-2,6.327491913E0
7.978994917E0,-1.562600555E0,-5.300477600E-1,7.894283752E0
