"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.616460000E0,3.675000000E1,3.043750000E1,-6.937500000E0
7.636461562E0,3.668750000E1,3.118750000E1,-4.312500000E0
7.666460000E0,3.625000000E1,3.181250000E1,3.125000000E-1
7.686460000E0,3.593750000E1,3.181250000E1,2.562500000E0
7.706461562E0,3.575000000E1,3.187500000E1,4.750000000E0
7.726461562E0,3.537500000E1,3.187500000E1,7.312500000E0
7.756460000E0,3.450000000E1,3.231250000E1,1.031250000E1
7.776460000E0,3.400000000E1,3.225000000E1,1.168750000E1
7.796461562E0,3.375000000E1,3.212500000E1,1.237500000E1
7.826460000E0,3.406250000E1,3.193750000E1,1.168750000E1
7.846460000E0,3.406250000E1,3.175000000E1,1.062500000E1
7.866461562E0,3.431250000E1,3.212500000E1,9.812500000E0
7.896460000E0,3.518750000E1,3.206250000E1,6.500000000E0
7.916460000E0,3.556250000E1,3.162500000E1,3.562500000E0
7.936461562E0,3.550000000E1,3.162500000E1,1.312500000E0
7.966460000E0,3.487500000E1,3.200000000E1,1.625000000E0
7.986460000E0,3.443750000E1,3.212500000E1,1.937500000E0
8.006461562E0,3.412500000E1,3.243750000E1,1.250000000E0
8.036460000E0,3.375000000E1,3.318750000E1,5.625000000E-1
8.056460000E0,3.318750000E1,3.350000000E1,7.500000000E-1
8.076461562E0,3.281250000E1,3.387500000E1,6.250000000E-1
8.106460000E0,3.250000000E1,3.400000000E1,2.812500000E0
8.126460000E0,3.243750000E1,3.400000000E1,2.625000000E0
8.146461562E0,3.212500000E1,3.393750000E1,-2.500000000E-1
8.176460000E0,3.206250000E1,3.337500000E1,-3.562500000E0
8.196460000E0,3.200000000E1,3.312500000E1,-3.437500000E0
8.216461562E0,3.237500000E1,3.268750000E1,-3.187500000E0
8.246460000E0,3.362500000E1,3.187500000E1,-5.500000000E0
8.266460000E0,3.375000000E1,3.131250000E1,-7.687500000E0
8.286461562E0,3.431250000E1,3.062500000E1,-9.312500000E0
8.316460000E0,3.437500000E1,2.968750000E1,-1.206250000E1
8.336460000E0,3.437500000E1,2.875000000E1,-1.368750000E1
8.356461562E0,3.481250000E1,2.787500000E1,-1.443750000E1
8.386460000E0,3.550000000E1,2.731250000E1,-1.406250000E1
8.406461562E0,3.631250000E1,2.662500000E1,-1.375000000E1
8.426461562E0,3.718750000E1,2.587500000E1,-1.387500000E1
8.456460000E0,3.762500000E1,2.462500000E1,-1.518750000E1
8.476460000E0,3.775000000E1,2.356250000E1,-1.668750000E1
8.496461562E0,3.793750000E1,2.250000000E1,-1.768750000E1
8.526460000E0,3.968750000E1,2.125000000E1,-1.750000000E1
8.546460000E0,4.087500000E1,2.062500000E1,-1.600000000E1
8.566461562E0,4.137500000E1,2.037500000E1,-1.537500000E1
8.596460000E0,4.125000000E1,2.062500000E1,-1.600000000E1
8.616460000E0,4.112500000E1,2.143750000E1,-1.462500000E1
8.636461562E0,4.112500000E1,2.293750000E1,-1.287500000E1
8.666460000E0,4.056250000E1,2.531250000E1,-1.018750000E1
8.686460000E0,3.981250000E1,2.656250000E1,-8.750000000E0
