"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.374851000E0,7.877718210E-1,-7.104537487E-1,-5.535486341E-1
6.394851000E0,6.317393780E-1,-6.864728928E-1,-7.033851147E-1
6.414851000E0,3.233571351E-1,-4.019842446E-1,-9.251990318E-1
6.434851000E0,1.166578084E-1,-1.242325380E-1,-1.088020802E0
6.454851000E0,-3.185226023E-2,5.593780056E-2,-1.163925171E0
6.474851000E0,-1.782504767E-1,1.377762854E-1,-1.217751145E0
6.494851000E0,-2.742610276E-1,1.281944364E-1,-1.204416752E0
6.514851000E0,-2.397035211E-1,1.292241812E-1,-1.128250599E0
6.534851000E0,-1.841147840E-1,6.461209059E-2,-1.037860036E0
6.554851000E0,-2.136457562E-1,-9.478883445E-2,-9.442929626E-1
6.574851000E0,-2.809456587E-1,-2.576455176E-1,-8.560839891E-1
6.594851000E0,-2.732836604E-1,-3.170914054E-1,-7.175048590E-1
6.614851000E0,-1.483529806E-1,-3.462035060E-1,-5.282937288E-1
6.634851000E0,3.607595712E-2,-2.878397107E-1,-3.210009634E-1
6.654851000E0,1.291892678E-1,-1.797863692E-1,-1.923876405E-1
6.674851000E0,1.355248094E-1,-9.522516280E-2,-1.370258033E-1
6.694851000E0,1.181064323E-1,-5.373868719E-2,-1.706932038E-1
6.714851000E0,1.498365104E-1,-5.064945295E-2,-2.515717447E-1
6.734851000E0,2.128428966E-1,-1.040216256E-2,-2.672448158E-1
6.754851000E0,2.788512409E-1,1.337271333E-1,-2.872462869E-1
6.774851000E0,3.036000133E-1,4.076740146E-1,-3.053104579E-1
6.794851000E0,2.394591719E-1,6.289119124E-1,-2.227214724E-1
6.814851000E0,3.696607426E-2,2.184977680E-1,-2.207841426E-1
6.834851000E0,-1.560324337E-2,-2.039940804E-1,-2.644872069E-1
6.854851000E0,2.149896622E-1,-2.448522449E-1,-2.041162550E-1
6.874851000E0,4.417952001E-1,-1.786868125E-1,-7.353071868E-2
6.894851000E0,2.885203660E-1,-3.141418099E-1,1.317723542E-1
6.914851000E0,-5.323254038E-3,-3.994884193E-1,2.875081003E-1
6.934851000E0,-8.723155409E-2,-2.945941091E-1,3.118379712E-1
6.954851000E0,1.031489577E-2,-1.123119369E-1,3.451039493E-1
6.974851000E0,9.194394201E-2,8.669050038E-2,3.116808832E-1
6.994851000E0,1.919862116E-4,1.599943340E-1,2.311863154E-1
7.014851000E0,-1.531351954E-1,1.109854877E-1,1.349663138E-1
7.034851000E0,-2.066644430E-1,-6.159266829E-2,7.648032904E-2
7.054851000E0,-9.417796880E-2,-1.714436859E-1,1.022239327E-1
7.074851000E0,6.581636518E-2,-2.053030729E-1,1.239183769E-1
7.094851000E0,1.790533215E-1,-1.847081929E-1,9.246754646E-2
7.114851000E0,2.027548999E-1,-1.739918739E-1,5.855579674E-2
7.134851000E0,1.858775616E-1,-2.619390190E-1,4.951499030E-2
7.154851000E0,1.416509151E-1,-3.469016552E-1,1.130973361E-2
7.174851000E0,7.642796636E-2,-3.826634288E-1,-1.626646891E-2
7.194851000E0,2.300344035E-2,-4.031884968E-1,5.515240598E-3
7.214851000E0,3.036872949E-3,-5.002637506E-1,1.897172816E-2
7.234851000E0,-4.173082113E-2,-5.094965100E-1,5.969026126E-3
7.254851000E0,-1.324181259E-1,-4.696331918E-1,-1.120326817E-1
7.274851000E0,-3.146305084E-1,-5.636017323E-1,-2.743308544E-1
7.294851000E0,-5.582610369E-1,-7.144156098E-1,-3.650006950E-1
7.314851000E0,-7.160911560E-1,-6.093817353E-1,-4.205196202E-1
7.334851000E0,-6.438868642E-1,-1.862091720E-1,-3.027622700E-1
7.354851000E0,-4.040437341E-1,1.274788529E-1,-1.837831736E-2
7.374851000E0,-1.975538135E-1,-3.576179594E-2,1.153837144E-1
7.394851000E0,-2.502802201E-2,-2.772106528E-1,-2.174680308E-2
7.414851000E0,1.479864717E-1,-1.373399645E-1,-2.900911868E-1
7.434851000E0,3.275808394E-1,1.074948311E-1,-5.448569059E-1
7.454851000E0,4.740139842E-1,1.456302702E-1,-5.719444156E-1
7.474851000E0,5.214520097E-1,9.049531817E-2,-4.680449367E-1
7.494851000E0,4.397880733E-1,1.393121779E-1,-4.742757678E-1
7.514851000E0,1.633977294E-1,2.370680720E-1,-6.391221285E-1
7.534851000E0,-1.435533315E-1,2.851344347E-1,-8.407949209E-1
7.554851000E0,-3.344225287E-1,2.370157093E-1,-9.336289763E-1
7.574851000E0,-3.701319695E-1,1.512327790E-1,-8.573406339E-1
7.594851000E0,-3.408977091E-1,8.012806624E-2,-7.201054096E-1
7.614851000E0,-2.870194018E-1,-7.435102481E-3,-5.992587805E-1
7.634851000E0,-1.569749117E-1,1.274090377E-3,-5.137725472E-1
7.654851000E0,-6.674139202E-2,1.378810150E-3,-4.748517275E-1
7.674851000E0,-1.024857312E-1,-5.564109609E-2,-4.232423306E-1
7.694851000E0,-2.102772743E-1,-1.106887832E-1,-3.820351064E-1
7.714851000E0,-3.066717982E-1,-2.226167470E-1,-3.478441238E-1
7.734851000E0,-2.767219543E-1,-4.704186022E-1,-2.921681106E-1
7.754851000E0,-2.136981189E-1,-7.568620443E-1,-2.237861156E-1
7.774851000E0,-2.303660065E-1,-8.449313641E-1,-1.350710243E-1
7.794851000E0,-3.399726748E-1,-7.065790892E-1,4.974188283E-3
